Date,BBCA.JK,TLKM.JK
2021-03-08,5678.369140625,2571.55029296875
2021-03-09,5581.193359375,2533.054443359375
2021-03-10,5665.693359375,2617.745849609375
2021-03-12,5716.39404296875,2656.2421875
2021-03-15,5631.89306640625,2602.347412109375
2021-03-16,5598.09423828125,2586.948974609375
2021-03-17,5585.4189453125,2610.046630859375
2021-03-18,5665.693359375,2656.2421875
2021-03-19,5712.16796875,2648.54296875
2021-03-22,5593.869140625,2602.347412109375
2021-03-23,5547.39453125,2586.948974609375
2021-03-24,5441.77001953125,2594.648193359375
2021-03-25,5382.61962890625,2625.445068359375
2021-03-26,5420.64453125,2687.0390625
2021-03-29,5374.17041015625,2625.445068359375
2021-03-30,5403.7451171875,2602.347412109375
2021-03-31,5251.6455078125,2633.144287109375
2021-04-01,5260.095703125,2610.046630859375
2021-04-05,5200.94580078125,2602.347412109375
2021-04-06,5209.3955078125,2594.648193359375
2021-04-07,5281.220703125,2617.745849609375
2021-04-08,5256.71533203125,2610.046630859375
2021-04-09,5312.40966796875,2586.948974609375
2021-04-12,5196.736328125,2548.452880859375
2021-04-13,5141.0419921875,2563.85107421875
2021-04-14,5402.3779296875,2571.55029296875
2021-04-15,5380.9560546875,2586.948974609375
2021-04-16,5376.6728515625,2586.948974609375
2021-04-19,5372.388671875,2571.55029296875
2021-04-20,5342.39892578125,2556.152099609375
2021-04-21,5282.419921875,2525.35498046875
2021-04-22,5325.26171875,2563.85107421875
2021-04-23,5475.20947265625,2548.452880859375
2021-04-26,5385.2412109375,2502.257080078125
2021-04-27,5488.06201171875,2432.9638671875
2021-04-28,5415.22998046875,2417.5654296875
2021-04-29,5492.34619140625,2463.760498046875
2021-04-30,5488.06201171875,2463.760498046875
2021-05-03,5475.20947265625,2440.6630859375
2021-05-04,5483.77783203125,2471.460205078125
2021-05-05,5505.1982421875,2463.760498046875
2021-05-06,5505.1982421875,2456.0615234375
2021-05-07,5483.77783203125,2456.0615234375
2021-05-10,5500.9140625,2440.6630859375
2021-05-11,5552.3251953125,2448.3623046875
2021-05-17,5569.4619140625,2456.0615234375
2021-05-18,5475.20947265625,2448.3623046875
2021-05-19,5436.65185546875,2432.9638671875
2021-05-20,5466.6416015625,2548.452880859375
2021-05-21,5449.50439453125,2517.655517578125
2021-05-24,5419.5146484375,2509.956298828125
2021-05-25,5445.220703125,2540.753662109375
2021-05-27,5372.388671875,2602.347412109375
2021-05-28,5432.3671875,2517.655517578125
2021-05-31,5462.35693359375,2648.54296875
2021-06-02,5539.47216796875,2656.2421875
2021-06-03,5655.1455078125,2687.0390625
2021-06-04,5638.0087890625,2694.73828125
2021-06-07,5595.16748046875,2733.234619140625
2021-06-08,5509.48291015625,2694.73828125
2021-06-09,5595.16748046875,2741.65380859375
2021-06-10,5672.28271484375,2814.441162109375
2021-06-11,5543.75537109375,2806.353759765625
2021-06-14,5492.34619140625,2757.828857421875
2021-06-15,5543.75537109375,2782.09130859375
2021-06-16,5470.9248046875,2757.828857421875
2021-06-17,5423.79931640625,2709.303955078125
2021-06-18,5419.5146484375,2709.303955078125
2021-06-21,5355.251953125,2668.866455078125
2021-06-22,5432.3671875,2668.866455078125
2021-06-23,5338.115234375,2725.478759765625
2021-06-24,5320.97802734375,2628.42919921875
2021-06-25,5303.841796875,2628.42919921875
2021-06-28,5188.16796875,2563.7294921875
2021-06-29,5179.599609375,2555.64208984375
2021-06-30,5162.46337890625,2547.554443359375
2021-07-01,5162.46337890625,2515.20458984375
2021-07-02,5226.72607421875,2482.854736328125
2021-07-05,5235.29345703125,2458.59228515625
2021-07-06,5188.16796875,2434.329833984375
2021-07-07,5196.736328125,2450.5048828125
2021-07-08,5153.89453125,2434.329833984375
2021-07-09,5158.17919921875,2555.64208984375
2021-07-12,5286.70458984375,2531.379638671875
2021-07-13,5179.599609375,2482.854736328125
2021-07-14,5132.47314453125,2474.767333984375
